[06:37:05] [ForkJoinPool.commonPool-worker-3/ERROR]: [Skript] Checking for updates failed. Do you have Internet connection? (config.sk, line 188: databases:')
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: java.util.concurrent.CompletionException: java.lang.RuntimeException: java.net.UnknownHostException: api.github.com
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at java.util.concurrent.CompletableFuture.encodeThrowable(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at java.util.concurrent.CompletableFuture.completeThrowable(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at java.util.concurrent.CompletableFuture$AsyncSupply.run(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at java.util.concurrent.CompletableFuture$AsyncSupply.exec(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at java.util.concurrent.ForkJoinTask.doExec(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at java.util.concurrent.ForkJoinPool$WorkQueue.runTask(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at java.util.concurrent.ForkJoinPool.runWorker(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at java.util.concurrent.ForkJoinWorkerThread.run(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: Caused by: java.lang.RuntimeException: java.net.UnknownHostException: api.github.com
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at ch.njol.skript.update.GithubChecker.lambda$0(GithubChecker.java:115)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	... 6 more
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: Caused by: java.net.UnknownHostException: api.github.com
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at java.net.AbstractPlainSocketImpl.connect(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at java.net.PlainSocketImpl.connect(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at java.net.SocksSocketImpl.connect(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at java.net.Socket.connect(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at sun.security.ssl.SSLSocketImpl.connect(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at sun.security.ssl.BaseSSLSocketImpl.connect(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at sun.net.NetworkClient.doConnect(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at sun.net.www.http.HttpClient.openServer(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at sun.net.www.http.HttpClient.openServer(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at sun.net.www.protocol.https.HttpsClient.<init>(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at sun.net.www.protocol.https.HttpsClient.New(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at sun.net.www.protocol.https.AbstractDelegateHttpsURLConnection.getNewHttpClient(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at sun.net.www.protocol.http.HttpURLConnection.plainConnect0(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at sun.net.www.protocol.http.HttpURLConnection.plainConnect(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at sun.net.www.protocol.https.AbstractDelegateHttpsURLConnection.connect(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at sun.net.www.protocol.http.HttpURLConnection.getInputStream0(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at sun.net.www.protocol.http.HttpURLConnection.getInputStream(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at sun.net.www.protocol.https.HttpsURLConnectionImpl.getInputStream(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at java.net.URL.openStream(Unknown Source)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	at ch.njol.skript.update.GithubChecker.lambda$0(GithubChecker.java:109)
[06:37:05] [ForkJoinPool.commonPool-worker-3/WARN]: 	... 6 more
